particle_key,sobp_position,LET_keV_um,O2_pct,model,mean_E_i,sd_E_i,n_seeds
carbon_dsobp,dsobp,70.700000,0.005000,QR,113.151775,0.865465,3
carbon_dsobp,dsobp,70.700000,0.021000,QR,112.335321,0.974456,3
carbon_dsobp,dsobp,70.700000,0.100000,QR,106.626716,1.044553,3
carbon_dsobp,dsobp,70.700000,0.500000,QR,92.819580,1.339141,3
carbon_dsobp,dsobp,70.700000,2.100000,QR,88.386270,1.340446,3
carbon_dsobp,dsobp,70.700000,5.000000,QR,90.006963,1.450694,3
carbon_dsobp,dsobp,70.700000,21.000000,QR,90.251890,1.548260,3
carbon_psobp,psobp,40.900000,0.005000,QR,110.943533,1.306310,3
carbon_psobp,psobp,40.900000,0.021000,QR,110.176246,1.374808,3
carbon_psobp,psobp,40.900000,0.100000,QR,101.135475,1.256577,3
carbon_psobp,psobp,40.900000,0.500000,QR,81.712567,0.304704,3
carbon_psobp,psobp,40.900000,2.100000,QR,75.458102,0.931466,3
carbon_psobp,psobp,40.900000,5.000000,QR,73.960896,1.445715,3
carbon_psobp,psobp,40.900000,21.000000,QR,71.766393,1.655110,3
electron_mono,mono,0.200000,0.005000,QR,170.197032,3.614675,3
electron_mono,mono,0.200000,0.021000,QR,157.206823,3.881110,3
electron_mono,mono,0.200000,0.100000,QR,128.218769,3.889606,3
electron_mono,mono,0.200000,0.500000,QR,88.139415,2.353627,3
electron_mono,mono,0.200000,2.100000,QR,96.603854,0.246949,3
electron_mono,mono,0.200000,5.000000,QR,109.321531,1.003598,3
electron_mono,mono,0.200000,21.000000,QR,121.377183,1.707061,3
helium_dsobp,dsobp,30.000000,0.005000,QR,102.723846,1.408799,3
helium_dsobp,dsobp,30.000000,0.021000,QR,100.605789,1.649695,3
helium_dsobp,dsobp,30.000000,0.100000,QR,87.300303,1.122839,3
helium_dsobp,dsobp,30.000000,0.500000,QR,74.518377,0.911557,3
helium_dsobp,dsobp,30.000000,2.100000,QR,72.256868,0.969787,3
helium_dsobp,dsobp,30.000000,5.000000,QR,72.911660,0.924426,3
