source_modality,target_modality,mean_E_forward,sd_E_forward,k_edge,cross_modality_r,model
m1,m2,0.993116,0.547180,13,-0.019000,QR
m1,m3,0.731398,0.309390,12,0.018000,QR
m1,m4,0.372806,0.213333,9,-0.053000,QR
m1,m5,2.271649,0.527410,15,0.704000,QR
m1,m6,3.951362,1.388464,10,0.103000,QR
m1,m7,0.637339,0.368936,9,0.587000,QR
m2,m1,0.939314,0.517956,13,-0.019000,QR
m2,m3,1.013299,0.404147,12,-0.981000,QR
m2,m4,0.293672,0.162744,9,0.474000,QR
m2,m5,3.235663,1.100850,13,-0.537000,QR
m2,m6,2.998112,1.048916,10,0.383000,QR
m2,m7,2.018742,0.686434,9,-0.742000,QR
m3,m1,0.893772,0.429960,12,0.018000,QR
m3,m2,1.066372,0.400470,12,-0.981000,QR
m3,m4,0.168583,0.121677,9,-0.411000,QR
m3,m5,1.685887,0.521227,12,0.537000,QR
m3,m6,3.938418,1.350932,10,-0.279000,QR
m3,m7,2.317338,0.888125,9,0.752000,QR
m4,m1,0.339644,0.170026,9,-0.053000,QR
m4,m2,0.332806,0.190843,9,0.474000,QR
m4,m3,0.158114,0.103366,9,-0.411000,QR
m4,m5,0.512776,0.164257,9,-0.250000,QR
m4,m6,5.327507,4.948587,9,-0.203000,QR
m4,m7,2.625322,0.877254,9,-0.286000,QR
m5,m1,2.317488,0.538670,15,0.704000,QR
m5,m2,3.281454,1.102222,13,-0.537000,QR
m5,m3,1.746915,0.499611,12,0.537000,QR
m5,m4,0.493799,0.165544,9,-0.250000,QR
m5,m6,4.265158,1.455345,10,-0.085000,QR
m5,m7,1.938734,1.489726,9,0.656000,QR
m6,m1,3.953544,1.390690,10,0.103000,QR
m6,m2,3.001227,1.050427,10,0.383000,QR
m6,m3,4.035399,1.360231,10,-0.279000,QR
m6,m4,5.363243,4.835800,9,-0.203000,QR
m6,m5,4.279447,1.498191,10,-0.085000,QR
m6,m7,6.423563,1.772601,9,-0.215000,QR
m7,m1,0.638598,0.342105,9,0.587000,QR
m7,m2,2.008776,0.723864,9,-0.742000,QR
m7,m3,2.506518,0.986095,9,0.752000,QR
m7,m4,2.591417,0.896413,9,-0.286000,QR
m7,m5,1.768416,1.220321,9,0.656000,QR
m7,m6,6.517093,1.870268,9,-0.215000,QR
