particle_key,o2,o2_label,particle_label,feature,modality,mean,std,median,q25,q75,n_valid
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_centroid_x_um,Spatial Distribution,0.00658067367870283,0.01966638916220713,0.010326956530235512,-0.006812685772664833,0.020176023977413363,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_centroid_y_um,Spatial Distribution,0.008863808541532013,0.024579525545766322,0.008068982288211155,-0.005764693272661205,0.021268674961384935,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_centroid_z_um,Spatial Distribution,0.007307463948057591,0.24240145222812176,-0.024882558771486353,-0.15495866027780625,0.1535193174342105,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_frac_nn_within_0.5um,Spatial Distribution,0.9601724156872122,0.012662148152710506,0.9613247863247864,0.9512959866220736,0.9693022150824717,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_frac_nn_within_1.0um,Spatial Distribution,0.9778962396818792,0.007847588964259508,0.9783726911386486,0.9722346119536129,0.9832386363636363,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_frac_nn_within_2.0um,Spatial Distribution,0.9921300486592933,0.006149607396769542,0.9940467753366407,0.9884381606765328,0.9953532853285328,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_h0_max_lifetime_um,Spatial Distribution,2.7275352263450623,0.7066881593209383,2.660372495651245,2.211045205593109,3.326922655105591,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_h0_mean_lifetime_um,Spatial Distribution,0.15268092598913946,0.019742418379267518,0.14945930995668943,0.14061676089485176,0.16216606418232127,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_h0_n_long_components,Spatial Distribution,7.92,2.381931988953505,7.0,6.25,9.0,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_h0_total_persistence_um,Spatial Distribution,28.22296706814823,3.6798497171635125,27.551510489545763,25.395392466809426,30.585112501692493,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_h1_max_persistence_um,Spatial Distribution,0.07627465650439262,0.10004750127535232,0.03538251668214798,0.023617859929800034,0.07400011271238327,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_h1_mean_persistence_um,Spatial Distribution,0.01704932770445268,0.014389999010782365,0.0138339102268219,0.0093564366244457,0.018122991706643787,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_h1_n_loops,Spatial Distribution,0.08,0.33704599092705434,0.0,0.0,0.0,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_h1_total_persistence_um,Spatial Distribution,0.16800641581416131,0.159044925896479,0.10796081833541393,0.08024745248258114,0.22359288670122623,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_n_dsbs,Spatial Distribution,191.12,19.11087648434786,190.5,176.0,202.0,50
